,regrets,rewards,probs,communication_flag
0,0.9,0.1,0.20340313166379928,False
1,1.0,0.0,0.13605621010065078,True
2,1.0,0.0,-2.6988561260397548,True
3,1.0,0.0,8.464655008167028,True
4,1.0,0.0,14.497570638929028,True
5,1.0,0.0,0.019378729304298757,True
6,1.0,0.0,0.0004504611104493961,True
7,1.0,0.0,0.0005847456603078171,True
8,1.0,0.0,0.0004050394985824823,True
9,0.9,0.1,0.0005946344492258504,True
10,0.9,0.1,0.028736983984708787,True
11,1.0,0.0,5.214164714561775,True
12,1.0,0.0,0.03078689444810152,True
13,1.0,0.0,-8.693483820208348,True
14,1.0,0.0,0.038567265146411955,True
15,1.0,0.0,0.015244375122711063,True
16,1.0,0.0,0.018087709788233042,True
17,1.0,0.0,0.004828681581420824,True
18,1.0,0.0,0.011831579136196525,True
19,0.9,0.1,9.109416037314805,True
20,1.0,0.0,0.03518886500969529,True
21,1.0,0.0,0.01708519060339313,True
22,1.0,0.0,0.026880189357325435,True
23,1.0,0.0,0.011620421148836612,True
24,1.0,0.0,0.0230729193193838,True
25,0.8,0.2,1.1735330856055952,True
26,1.0,0.0,0.027733548171818258,True
27,1.0,0.0,0.022046005516313017,True
28,1.0,0.0,0.0492046398576349,True
29,1.0,0.0,0.01749224788509309,True
30,1.0,0.0,0.041576248593628407,True
31,1.0,0.0,0.031843962892889974,True
32,1.0,0.0,0.0213692806661129,True
33,1.0,0.0,0.021987695107236506,True
34,1.0,0.0,0.021322519797831774,True
35,1.0,0.0,0.02266963729634881,True
36,1.0,0.0,0.023471096251159906,True
37,1.0,0.0,0.02810909878462553,True
38,1.0,0.0,0.018281793082132937,True
39,1.0,0.0,0.01577245108783245,True
40,1.0,0.0,0.014627538435161114,True
41,1.0,0.0,0.01775777987204492,True
42,1.0,0.0,0.019327435456216336,True
43,1.0,0.0,0.012790056504309177,True
44,1.0,0.0,0.013181106536649168,True
45,1.0,0.0,0.019148901896551253,True
46,1.0,0.0,0.01139283087104559,True
47,1.0,0.0,0.017571198847144844,True
48,1.0,0.0,0.012178385397419333,True
49,0.9,0.1,0.011626696586608887,True
50,1.0,0.0,0.022378848562948406,True
51,1.0,0.0,0.041768666449934246,True
52,1.0,0.0,0.04175548814237118,True
53,1.0,0.0,0.03900992479175329,True
54,1.0,0.0,0.07205245029181243,True
55,1.0,0.0,0.006445004360284656,True
56,1.0,0.0,0.04002496246248484,True
57,1.0,0.0,0.022558105271309616,True
58,1.0,0.0,0.028759194165468217,True
59,0.9,0.1,0.010129155311733484,True
60,0.9,0.1,0.04299081971985288,True
61,1.0,0.0,0.01713073793798685,True
62,1.0,0.0,0.03440594375133514,True
63,0.9,0.1,0.017366899829357862,True
64,1.0,0.0,0.02543739043176174,True
65,1.0,0.0,0.015896298200823368,True
66,1.0,0.0,0.013403852563351392,True
67,1.0,0.0,0.011803897796198726,True
68,1.0,0.0,0.01657111681997776,True
69,1.0,0.0,0.025116275437176226,True
70,1.0,0.0,8.600922250561416,True
71,1.0,0.0,0.02077803686261177,True
72,1.0,0.0,0.03296733940951526,True
73,1.0,0.0,0.03601030809804797,True
74,1.0,0.0,5.152660296857357,True
75,1.0,0.0,0.02215968267992139,True
76,1.0,0.0,0.022730608377605675,True
77,0.9,0.1,0.020882349275052548,True
78,1.0,0.0,0.020484386151656507,True
79,1.0,0.0,0.023574985470622777,True
80,1.0,0.0,0.6524815883487463,True
81,1.0,0.0,0.020320076402276753,True
82,1.0,0.0,4.465046808449552,True
83,1.0,0.0,0.01815826343372464,True
84,1.0,0.0,0.02608369467779994,True
85,1.0,0.0,0.373397580627352,True
86,1.0,0.0,0.010309300012886524,True
87,0.9,0.1,0.019541693199425936,True
88,1.0,0.0,0.0120198676828295,True
89,1.0,0.0,0.01283635983709246,True
90,1.0,0.0,0.028574128169566393,True
91,1.0,0.0,0.04506441075354815,True
92,0.9,0.1,0.013165964931249618,True
93,1.0,0.0,0.02173137883655727,True
94,1.0,0.0,0.019579527899622917,True
95,1.0,0.0,9.05818910477683,True
96,1.0,0.0,0.01760075567290187,True
97,1.0,0.0,0.01964358249679208,True
98,1.0,0.0,0.06250013494864107,True
99,1.0,0.0,0.023984220274724067,True
100,1.0,0.0,0.019833679497241973,True
101,1.0,0.0,0.01031475393101573,True
102,1.0,0.0,0.023636024817824362,True
103,1.0,0.0,0.012316017178818583,True
104,1.0,0.0,0.023259075358510017,True
105,1.0,0.0,0.01862732581794262,True
106,0.9,0.1,0.02190001669805497,True
107,1.0,0.0,0.013495130790397524,True
108,1.0,0.0,0.021025364566594363,True
109,1.0,0.0,0.01498544802889228,True
110,1.0,0.0,0.02151201730594039,True
111,1.0,0.0,0.017027160339057445,True
112,1.0,0.0,0.026408585719764233,True
113,0.9,0.1,0.027815809519961477,True
114,0.9,0.1,0.032326711574569345,True
115,0.8,0.2,0.02034120410680771,True
116,1.0,0.0,0.020226340927183627,True
117,1.0,0.0,4.753286434616894,True
118,1.0,0.0,0.020402484480291604,True
119,1.0,0.0,0.02461321335285902,True
120,0.9,0.1,0.01877277810126543,True
121,1.0,0.0,0.027861186489462852,True
122,1.0,0.0,0.021664440259337427,True
123,0.9,0.1,0.025258877780288458,True
124,1.0,0.0,0.03713778210803866,True
125,1.0,0.0,0.039399243984371425,True
126,1.0,0.0,0.017376578430412338,True
127,1.0,0.0,0.04196729511022568,True
128,1.0,0.0,0.01444526663981378,True
129,1.0,0.0,0.013704492943361402,True
130,1.0,0.0,0.022439593449234962,True
131,1.0,0.0,0.025999072939157486,True
132,1.0,0.0,0.04320921655744314,True
